# wf=k*wf
#    k [fm]          3s1 wf          3d1 wf
  0.94576198E-05  0.11398150E+02  0.47964359E-09
  0.49825435E-04  0.11397383E+02  0.13312455E-07
  0.12242501E-03  0.11397381E+02  0.80370414E-07
  0.22722956E-03  0.11397373E+02  0.27687596E-06
  0.36417972E-03  0.11397355E+02  0.71119129E-06
  0.53319693E-03  0.11397321E+02  0.15245053E-05
  0.73418557E-03  0.11397266E+02  0.28904349E-05
  0.96703429E-03  0.11397180E+02  0.50145495E-05
  0.12316174E-02  0.11397053E+02  0.81338271E-05
  0.15277965E-02  0.11396875E+02  0.12516055E-04
  0.18554220E-02  0.11396634E+02  0.18459185E-04
  0.22143351E-02  0.11396316E+02  0.26290665E-04
  0.26043700E-02  0.11395908E+02  0.36366749E-04
  0.30253556E-02  0.11395390E+02  0.49071809E-04
  0.34771182E-02  0.11394751E+02  0.64817676E-04
  0.39594835E-02  0.11393970E+02  0.84042997E-04
  0.44722796E-02  0.11393029E+02  0.10721266E-03
  0.50153391E-02  0.11391907E+02  0.13481727E-03
  0.55885020E-02  0.11390585E+02  0.16737276E-03
  0.61916184E-02  0.11389039E+02  0.20541999E-03
  0.68245511E-02  0.11387248E+02  0.24952464E-03
  0.74871788E-02  0.11385186E+02  0.30027705E-03
  0.81793987E-02  0.11382830E+02  0.35829236E-03
  0.89011293E-02  0.11380152E+02  0.42421075E-03
  0.96523136E-02  0.11377126E+02  0.49869785E-03
  0.10432922E-01  0.11373724E+02  0.58244537E-03
  0.11242955E-01  0.11369916E+02  0.67617198E-03
  0.12082447E-01  0.11365673E+02  0.78062431E-03
  0.12951469E-01  0.11360962E+02  0.89657830E-03
  0.13850131E-01  0.11355751E+02  0.10248407E-02
  0.14778585E-01  0.11350005E+02  0.11662510E-02
  0.15737031E-01  0.11343689E+02  0.13216834E-02
  0.16725716E-01  0.11336767E+02  0.14920493E-02
  0.17744942E-01  0.11329198E+02  0.16782998E-02
  0.18795066E-01  0.11320943E+02  0.18814293E-02
  0.19876503E-01  0.11311960E+02  0.21024779E-02
  0.20989734E-01  0.11302203E+02  0.23425363E-02
  0.22135306E-01  0.11291626E+02  0.26027488E-02
  0.23313838E-01  0.11280181E+02  0.28843187E-02
  0.24526023E-01  0.11267814E+02  0.31885126E-02
  0.25772637E-01  0.11254473E+02  0.35166662E-02
  0.27054539E-01  0.11240098E+02  0.38701900E-02
  0.28372679E-01  0.11224630E+02  0.42505754E-02
  0.29728101E-01  0.11208003E+02  0.46594020E-02
  0.31121953E-01  0.11190149E+02  0.50983446E-02
  0.32555489E-01  0.11170995E+02  0.55691815E-02
  0.34030080E-01  0.11150464E+02  0.60738030E-02
  0.35547216E-01  0.11128474E+02  0.66142205E-02
  0.37108520E-01  0.11104935E+02  0.71925768E-02
  0.38715753E-01  0.11079755E+02  0.78111562E-02
  0.40370824E-01  0.11052833E+02  0.84723967E-02
  0.42075802E-01  0.11024062E+02  0.91789011E-02
  0.43832925E-01  0.10993327E+02  0.99334509E-02
  0.45644616E-01  0.10960507E+02  0.10739019E-01
  0.47513494E-01  0.10925469E+02  0.11598787E-01
  0.49442388E-01  0.10888074E+02  0.12516154E-01
  0.51434356E-01  0.10848170E+02  0.13494762E-01
  0.53492705E-01  0.10805596E+02  0.14538505E-01
  0.55621006E-01  0.10760179E+02  0.15651549E-01
  0.57823119E-01  0.10711734E+02  0.16838352E-01
  0.60103219E-01  0.10660063E+02  0.18103679E-01
  0.62465820E-01  0.10604952E+02  0.19452623E-01
  0.64915811E-01  0.10546175E+02  0.20890621E-01
  0.67458480E-01  0.10483488E+02  0.22423474E-01
  0.70099562E-01  0.10416632E+02  0.24057362E-01
  0.72845272E-01  0.10345328E+02  0.25798861E-01
  0.75702358E-01  0.10269282E+02  0.27654951E-01
  0.78678148E-01  0.10188179E+02  0.29633031E-01
  0.81780610E-01  0.10101685E+02  0.31740920E-01
  0.85018418E-01  0.10009446E+02  0.33986854E-01
  0.88401024E-01  0.99110887E+01  0.36379481E-01
  0.91938740E-01  0.98062208E+01  0.38927836E-01
  0.95642831E-01  0.96944297E+01  0.41641313E-01
  0.99525619E-01  0.95752858E+01  0.44529614E-01
  0.10360061E+00  0.94483432E+01  0.47602684E-01
  0.10788260E+00  0.93131425E+01  0.50870621E-01
  0.11238787E+00  0.91692143E+01  0.54343555E-01
  0.11713434E+00  0.90160837E+01  0.58031501E-01
  0.12214175E+00  0.88532762E+01  0.61944165E-01
  0.12743192E+00  0.86803249E+01  0.66090716E-01
  0.13302898E+00  0.84967794E+01  0.70479491E-01
  0.13895971E+00  0.83022170E+01  0.75117663E-01
  0.14525384E+00  0.80962551E+01  0.80010822E-01
  0.15194451E+00  0.78785663E+01  0.85162509E-01
  0.15906868E+00  0.76488959E+01  0.90573659E-01
  0.16666773E+00  0.74070806E+01  0.96241979E-01
  0.17478804E+00  0.71530703E+01  0.10216125E+00
  0.18348180E+00  0.68869506E+01  0.10832055E+00
  0.19280785E+00  0.66089663E+01  0.11470343E+00
  0.20283275E+00  0.63195455E+01  0.12128704E+00
  0.21363201E+00  0.60193223E+01  0.12804123E+00
  0.22529156E+00  0.57091568E+01  0.13492762E+00
  0.23790955E+00  0.53901517E+01  0.14189876E+00
  0.25159847E+00  0.50636623E+01  0.14889729E+00
  0.26648776E+00  0.47312988E+01  0.15585526E+00
  0.28272690E+00  0.43949195E+01  0.16269347E+00
  0.30048933E+00  0.40566116E+01  0.16932112E+00
  0.31997718E+00  0.37186618E+01  0.17563541E+00
  0.34142709E+00  0.33835126E+01  0.18152148E+00
  0.36511764E+00  0.30537081E+01  0.18685241E+00
  0.39137848E+00  0.27318300E+01  0.19148929E+00
  0.42060204E+00  0.24204262E+01  0.19528155E+00
  0.45325844E+00  0.21219364E+01  0.19806737E+00
  0.48991466E+00  0.18386184E+01  0.19967441E+00
  0.53125955E+00  0.15724803E+01  0.19992125E+00
  0.57813662E+00  0.13252219E+01  0.19861984E+00
  0.63158768E+00  0.10981890E+01  0.19558005E+00
  0.69291149E+00  0.89234198E+00  0.19061741E+00
  0.76374376E+00  0.70823985E+00  0.18356553E+00
  0.84616770E+00  0.54603717E+00  0.17429498E+00
  0.94286943E+00  0.40549229E+00  0.16273937E+00
  0.10573601E+01  0.28598511E+00  0.14892669E+00
  0.11942997E+01  0.18654943E+00  0.13300463E+00
  0.13599796E+01  0.10594770E+00  0.11522118E+00
  0.15630592E+01  0.42885625E-01  0.95737133E-01
  0.18157212E+01 -0.33403477E-02  0.73923306E-01
  0.21355439E+01 -0.31106167E-01  0.46739252E-01
  0.25486439E+01 -0.34599420E-01  0.12116086E-01
  0.30951831E+01 -0.16012182E-01 -0.22620598E-02
  0.38395121E+01 -0.10665374E-02 -0.97921701E-04
  0.48900126E+01 -0.27264754E-06 -0.13851153E-07
  0.64408919E+01 -0.97553205E-17 -0.15341709E-16
  0.88687867E+01 -0.31306860E-17  0.51184531E-17
  0.12984825E+02  0.64131307E-18 -0.30855990E-17
  0.20810716E+02 -0.76756981E-18 -0.74963271E-19
  0.38626175E+02  0.53459363E-18  0.24352616E-18
  0.94907548E+02 -0.25069112E-18 -0.63394785E-20
  0.50000000E+03 -0.72247703E-21  0.55701146E-20
